"연번","도로명주소","지번주소","x 좌표","y 좌표","건물명","구 명칭","전화번호","유형","개방시간","소재지 용도","화장실 현황","장애인화장실 현황","편의시설 (기타설비)","안내표지","소재지","비고"
"1368","서울특별시 성동구 고산자로 123","서울특별시 성동구 응봉동 246","127.03511481","37.55079987","응봉역 공중화장실","성동구"," "," "," "," "," ","별도설치","비상벨 설치"," "," "," "
"1369","서울특별시 마포구 서강로16길 25","서울특별시 마포구 노고산동 109-47","126.93510965","37.55239632","서강대역 공중화장실(경의선)","마포구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1370","서울특별시 중랑구 망우로 297","서울특별시 중랑구 상봉동 100-9","127.08557212","37.59690924","상봉역 공중화장실","중랑구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1371","서울특별시 중랑구 신내역로 20","서울특별시 중랑구 망우동 320","127.10322881","37.61254967","신내역 공중화장실","중랑구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1372","서울특별시 은평구 수색로 193","서울특별시 은평구 수색동 37-2","126.90012783","37.57770702","디지털미디어시티역 공중화장실(경의선)","은평구"," "," "," "," "," ","별도설치","비상벨 설치"," "," "," "
"1373","서울특별시 마포구 마포대로 92","서울특별시 마포구 도화동 25-13","126.95120474","37.54287061","공덕역 공중화장실(경의선)","마포구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1374","서울특별시 용산구 원효로71길 42-1","서울특별시 용산구 용문동 5-133","126.96302021","37.53847451","효창공원앞역 공중화장실(경의선)","용산구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1375","서울특별시 성동구 왕십리광장로 17","서울특별시 성동구 행당동 168-151","127.03848906","37.56172170","왕십리역 공중화장실(경의선)","성동구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1376","서울특별시 중구 한강대로 405","서울특별시 용산구 동자동  43-205","126.97103270","37.55390347","서울역 화장실","용산구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1377","서울특별시 구로구 구로중앙로 174","서울특별시 구로구 구로동 585-3","126.88172296","37.50251183","구로역 공중화장실","구로구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1378","서울특별시 구로구 부일로 872","서울특별시 구로구 온수동 51-7","126.82413351","37.49247079","온수역 공중화장실(1호선)","구로구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1379","서울특별시 강남구 선릉로 578","서울특별시 강남구 삼성동 112","127.04394342","37.51020349","선정릉역 공중화장실(분당선)","강남구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1380","서울특별시 강남구 남부순환로 2814","서울특별시 강남구 도곡동 339-2","127.05530624","37.49116278","도곡역 공중화장실(분당선)","강남구"," "," "," "," "," ","별도설치","비상벨 설치"," "," "," "
"1381","서울특별시 성동구 왕십리로 77","서울특별시 성동구 성수동1가 656-436","127.04465766","37.54348879","서울숲역 공중화장실","성동구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1382","서울특별시 강남구 개포로 403","서울특별시 강남구 개포동 175-3","127.05942573","37.48698689","구룡역 공중화장실","강남구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1383","서울특별시 영등포구 영등포로 327","서울특별시 영등포구 신길동 41-48","126.91761023","37.51704826","신길역 공중화장실(1호선)","영등포구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1384","서울특별시 영등포구 경인로 846","서울특별시 영등포구 영등포동 618-496","126.90738538","37.51573551","영등포역 공중화장실","영등포구"," "," "," "," "," ","별도설치","비상벨, 기저귀교환대 설치"," "," "," "
"1385","서울특별시 구로구 경인로20길 13","서울특별시 구로구 오류동 66","126.84446488","37.49434300","오류동역 공중화장실","구로구"," "," "," "," "," ","별도설치","비상벨 설치"," "," "," "
"1386","서울특별시 양천구 중앙로 331","서울특별시 양천구 신월동 474-4","126.84981826","37.52551197","삼미상사㈜신월IC셀프주유소","양천구","02-2620-4874","주유소","정시"," "," "," "," "," "," ","화장실관련정보 문의:양천구청 녹색환경과 02-2620-4874"
"1387","서울특별시 광진구 천호대로112길 10","서울특별시 광진구 능동 222-5","127.08136657","37.55569262","동진빌딩","광진구","02-450-1375","민간개방","07:30~22:00","빌딩","남1, 여1"," "," "," "," ","02-450-1375"
"1388","서울특별시 광진구 광나루로 442","서울특별시 광진구 화양동 467-1","127.07844253","37.54542370","동일빌딩","광진구","02-450-1375","민간개방","07:00~23:00","빌딩"," "," "," "," "," ","02-450-1375"
"1448"," ","서울특별시 영등포구 문래동3가  55-6","126.89880942","37.51768416","꽃밭정원 공중화장실","영등포구"," "," "," "," "," "," "," "," "," "," "
"1390","서울특별시 광진구 강변역로4길 10","서울특별시 광진구 구의동 546-11","127.09353583","37.53541750","지너스타워","광진구","02-450-1375","민간개방","상시","빌딩","남1, 여1"," "," "," "," ","02-450-1375"
"1391","서울특별시 양천구 목동중앙남로7길 8","서울특별시 양천구 목동 726-18","126.86619807","37.53759119","목4동시장 고객지원센터","양천구","02-2620-3430"," "," "," "," "," "," "," "," ","화장실관련정보 문의:양천구청 청소행정과 02-2620-3430"
"1392","서울특별시 양천구 신월로 26","서울특별시 양천구 신정동 1321-7","126.82708555","37.51300237","구립양천어르신요양센터","양천구","02-2695-1620"," "," "," "," "," "," "," "," ","화장실관련정보 문의:양천구청 어르신복지과 02-2695-1620"
"1393","서울특별시 양천구 남부순환로83길 54","서울특별시 양천구 신월동 1077-2","126.84579979","37.51767509","건강힐링문화관","양천구","02-2691-9810"," "," "," "," "," "," "," "," ","화장실관련정보 문의:양천구시설관리공단 02-2691-9810"
"1394","서울특별시 종로구 삼청로 156","서울특별시 종로구 삼청동 산 2-1","126.98295884","37.58886770","삼청테니스장 개방화장실","종로구"," ","공공개방"," ","테니스장"," "," "," "," "," "," "
"1395","서울특별시 동작구 사당로2가길 102","서울특별시 동작구 사당동 1139","126.96347595","37.48826890","사당자이아파트 상가 개방화장실","동작구"," "," "," "," "," "," "," "," "," "," "
"1396","서울특별시 동작구 현충로 213","서울특별시 동작구 동작동 326-3","126.97748324","37.50399727","주차공원 공중화장실","동작구"," "," "," "," "," "," "," "," "," "," "
"1397","서울특별시 종로구 북촌로 134-3","서울특별시 종로구 삼청동 산 2-2","126.98401411","37.58777493","삼청공원 관리소 공중화장실","종로구"," ","공중"," ","공중화장실"," "," "," "," "," "," "
"1398","서울특별시 동작구 동작대로 255","서울특별시 동작구 동작동 86-6","126.98428277","37.49908772","이수교 공중화장실","동작구"," "," "," "," "," "," "," "," "," "," "
"1399","서울특별시 종로구 창신길 124","서울특별시 종로구 창신동 596-18","127.00996385","37.57691614","동부여성문화센터 개방화장실","종로구"," ","공공개방"," ","문화센터"," "," "," "," "," "," "
"1400","서울특별시 종로구 명륜길 26","서울특별시 종로구 명륜3가 1-21","126.99540129","37.58866466","명륜와룡공영주차장 공중화장실","종로구"," ","공중화장실"," ","공영주차장"," "," "," "," "," "," "
"1401","서울특별시 종로구 낙산성곽동길 69","서울특별시 종로구 창신동 622-68","127.00856209","37.57865577","창이놀이터 공중화장실","종로구"," ","공중화장실"," ","놀이터"," "," "," "," "," "," "
"1402","서울특별시 종로구 와룡공원길 192","서울특별시 종로구 명륜3가 53-52","126.99038200","37.59117362","와룡공원(관리실옆) 공중화장질","종로구"," ","공중화장실"," ","공원"," "," "," "," "," "," "
"1403"," ","서울특별시 종로구 부암동  16-18","126.97288685","37.59624176","청운대안내소 공중화장실","종로구"," ","공중화장실"," ","등산로"," "," "," "," "," "," "
"1404","서울특별시 종로구 사직로9길 15-32","서울특별시 종로구 사직동 산 1-1","126.96475364","37.57703077","사직경로당 옆 공중화장실","종로구"," ","공중"," ","공중화장실"," "," "," "," "," "," "
"1405","서울특별시 서대문구 홍제천로 167","서울특별시 서대문구 연희동 726","126.93172379","37.57784217","홍연2교 공중화장실","서대문구","02-330-1518","공중화장실","00:00~24:00","공중화장실"," "," "," "," "," "," "
"1406","서울특별시 중랑구 봉우재로33길 25","서울특별시 중랑구 상봉동 107-59","127.08742747","37.59389116","이레59 개방화장실","중랑구"," ","민간개방화장실","08:00 ~ 24:00"," "," "," "," "," "," "," "
"1407","서울특별시 구로구 남부순환로 823","서울특별시 구로구 개봉동 74-48","126.85014326","37.49700744","오류IC 도시농업체험장","구로구"," ","공중화장실"," "," "," "," "," "," "," "," "
"1408","서울특별시 구로구 도림천로 295","서울특별시 구로구 구로동 68-1","126.89315541","37.49841024","거리공원 입구","구로구"," "," "," "," "," "," "," "," "," "," "
"1409","서울특별시 강북구 도봉로21길 24","서울특별시 강북구 미아동 329-16","127.02703280","37.61818393","솔샘어린이공원 공중화장실","강북구"," "," "," "," "," "," "," "," "," "," "
"1410","서울특별시 강북구 삼각산로 4-5","서울특별시 강북구 수유동  산 127-1","126.99730454","37.63889772","영락기도원 입구 개방화장실","강북구"," "," "," "," "," "," "," "," "," "," "
"1411","서울특별시 강북구 솔샘로 326","서울특별시 강북구 미아동 458-8","127.02821317","37.61698312","신성교회 개방화장실","강북구"," "," "," "," "," "," "," "," "," "," "
"1412","서울특별시 강북구 도봉로 399","서울특별시 강북구 수유동 168-35","127.02986894","37.64239396","씨지비 수유점 개방화장실","강북구"," "," "," "," "," "," "," "," "," "," "
"1413","서울특별시 서대문구 홍제천로 149","서울특별시 서대문구 연희동 735","126.92999742","37.57700612","해달별 공중화장실","서대문구"," ","공중화장실","00:00~24:00","공중화장실"," "," "," "," "," "," "
"1414","서울특별시 강북구 화계사길 117","서울특별시 강북구 수유동 산 164-5","127.00742198","37.63309297","화계사 개방화장실","강북구"," "," "," "," "," "," "," "," "," "," "
"1415","서울특별시 강북구 한천로 945","서울특별시 강북구 번동 432-3","127.03463310","37.63456671","번동성당 개방화장실","강북구"," "," "," "," "," "," "," "," "," "," "
"1416","서울특별시 관악구 남부순환로230길 50","서울특별시 관악구 봉천동 1610-26","126.95520574","37.47795331","남부순환로230길 48 공중화장실","관악구"," "," "," "," "," "," "," "," "," "," "
"1417","서울특별시 중랑구 봉우재로33길 42","서울특별시 중랑구 상봉동 105-11","127.08830685","37.59426322","대한미용사회 중랑구지회 개방화장실","중랑구"," ","민간개방화장실","상시개방"," "," "," "," "," "," "," "
"1418","서울특별시 중랑구 봉우재로33길 48","서울특별시 중랑구 상봉동 105-9","127.08843282","37.59440112","상봉먹자골목 개방화장실","중랑구"," ","개방화장실","상시개방"," "," "," "," "," "," "," "
"1419","서울특별시 강북구 솔샘로47길 21","서울특별시 강북구 미아동 791-2143","127.01806833","37.62103984","삼양교회 개방화장실","강북구"," "," "," "," "," "," "," "," "," "," "
"1420","서울특별시 강북구 인수봉로 291","서울특별시 강북구 수유동 545-3","127.01052141","37.64479846","강북구 장애인 회관 개방화장실","강북구"," "," "," "," "," "," "," "," "," "," "
"1421","서울특별시 구로구 경인로 265","서울특별시 구로구 개봉동 79-1","126.84964148","37.49844797","오류IC 숲속놀이터","구로구"," ","공중화장실"," "," "," "," "," "," "," "," "
"1422","서울특별시 영등포구 경인로 725","서울특별시 영등포구 문래동2가 24","126.89404525","37.51245225","조양빌딩","영등포구"," "," "," "," "," "," "," "," "," "," "
"1423","서울특별시 성동구 마장로37길 51-1","서울특별시 성동구 마장동 761-27","127.04174511","37.56991413","마장현대상가 개방화장실","성동구"," "," "," "," "," "," "," "," "," "," "
"1424","서울특별시 서초구 신반포로 127","서울특별시 서초구 반포동 1-3","126.99823577","37.50443877","반포2동주민센터","서초구"," "," ","평일 09:00~18:00","공공청사","남: 대1, 소2 / 여 : 대3","남1, 여1"," "," "," "," "
"1425","서울특별시 영등포구 문래로 110","서울특별시 영등포구 문래동3가 73","126.89422844","37.51883701","시립문래청소년 센터","영등포구","02-2167-0100"," "," "," "," "," "," "," "," "," "
"1426","서울특별시 서대문구 연희로 262-24","서울특별시 서대문구 홍은동 429","126.93700635","37.58130631","카페폭포","서대문구","02-330-8298","공공개방화장실","정시(10:00~21:00)"," "," "," "," "," "," "," "
"1427","서울특별시 서대문구 신촌로 1","서울특별시 서대문구 창천동 510-2","126.92744612","37.55892971","쓰리알유씨티 개방화장실","서대문구","02-330-1519","민간개방화장실","정시(04:00~23:00)","빌딩"," "," "," "," "," "," "
"1428","서울특별시 서대문구 통일로 442-1","서울특별시 서대문구 홍제동 253-11","126.94466314","37.58864941","맥도날드 홍제점(2층) 개방화장실","서대문구","02-6743-3400","민간개방화장실","00:00~24:00","민간개방화장실"," "," "," "," "," "," "
"1429","서울특별시 서대문구 불광천길 159","서울특별시 서대문구 북가좌동 352-1","126.90907770","37.58233620","북가좌 공중화장실","서대문구","02-330-1518","공중화장실","00:00~24:00","공중화장실"," "," "," "," "," "," "
"1430","서울특별시 서대문구 봉원사길 115","서울특별시 서대문구 봉원동 23-2","126.94696037","37.57151699","봉원2 공중화장실","서대문구","02-330-1518","공중화장실"," ","공중화장실"," "," "," "," "," "," "
"1431","서울특별시 서대문구 홍제천로 111-1","서울특별시 서대문구 연희동 696","126.92652950","37.57511305","홍남교 공중화장실","서대문구","02-330-1518","공중화장실","00:00~24:00","공중화장실"," "," "," "," "," "," "
"1432","서울특별시 서대문구 증가로32길 42","서울특별시 서대문구 북가좌동 338-21","126.91322798","37.58502962","거꾸로어린이공원 공중화장실","서대문구","02-330-1518","공중화장실","00:00~24:00","공중화장실"," "," "," "," "," "," "
"1433","서울특별시 서대문구 통일로 279-5","서울특별시 서대문구 현저동 101","126.95544862","37.57607445","독립공원 공중화장실","서대문구","02-330-1518","공중화장실","00:00~24:00","공중화장실"," "," "," "," "," "," "
"1434","서울특별시 서대문구 모래내로 173","서울특별시 서대문구 남가좌동 138-4","126.91987867","37.57133358","서대문종합사회복지관 신관 개방화장실(1층)","서대문구","02-375-5040","공공개방화장실","정시(09:00~20:00)","복지시설"," "," "," "," "," "," "
"1435","서울특별시 서대문구 신촌역로 7","서울특별시 서대문구 대현동 104-23","126.94257021","37.55735674","신촌 푸르지오 시티 개방화장실","서대문구","02-330-1519","민간개방화장실","정시(09:00~21:00)","빌딩"," "," "," "," "," "," "
"1436","서울특별시 서대문구 통일로 484","서울특별시 서대문구 홍제동 294-46","126.94277953","37.59157023","유진시장 개방화장실","서대문구","02-330-1519","민간개방화장실","정시(09:00~20:00)"," "," "," "," "," "," "," "
"1437","서울특별시 서대문구 연희로 333","서울특별시 서대문구 홍은동 265-11","126.93476492","37.58678503","주영빌딩 개방화장실","서대문구"," ","민간개방화장실","정시(03:00~23:00)","빌딩"," "," "," "," "," "," "
"1438","서울특별시 서대문구 연희로 262-18","서울특별시 서대문구 홍은동 429","126.93693837","37.58093361","홍제천변 수변테라스 야외화장실","서대문구"," ","공공개방화장실","상시(10:00~21:00)"," "," "," "," "," "," "," "
"1439","서울특별시 서대문구 연세로5나길 19","서울특별시 서대문구 창천동 57-18","126.93520205","37.55684127","청년취업사관학교 서대문캠퍼스","서대문구","02-330-1478","공공개방화장실","00:00~24:00"," "," "," "," "," "," "," "
"1440","서울특별시 서대문구 연세로2나길 48","서울특별시 서대문구 창천동 4-63","126.93953725","37.55755586","신촌동자치회관","서대문구","02-330-7980","공공개방화장실","정시(09:00~18:00)","공공개방화장실"," "," "," "," "," "," "
"1441","서울특별시 서대문구 연세로2나길 47","서울특별시 서대문구 창천동 4-62","126.93952995","37.55777432","신촌동주민센터","서대문구","02-330-4357","공공개방화장실","정시(09:00~18:00)"," "," "," "," "," "," "," "
"1442","서울특별시 서대문구 이화여대길 52","서울특별시 서대문구 대현동 11-1","126.95011165","37.56434859","이화여자대학교종합사회복지관","서대문구","02-3277-3190","민간개방화장실","정시(09:00~18:00)"," "," "," "," "," "," "," "
"1443","서울특별시 중구 장충단로 59","서울특별시 중구 장충동2가 산 14-67","126.99975395","37.55242425","국립극장","중구","02-2280-4053"," "," "," "," "," "," "," "," "," "
"1444","서울특별시 성동구 송정18길 1-1","서울특별시 성동구 송정동 73-225","127.06800623","37.55309818","1유로프로젝트 개방화장실","성동구"," "," "," "," "," "," "," "," "," "," "
"1445","서울특별시 성동구 살곶이길 40","서울특별시 성동구 마장동  803","127.04547531","37.56915339","청계천 1호 화장실","성동구","02-2290-6852","공중(연중개방)","청계천 내 공중화장실","남자화장실: 좌변기2, 소변기2 여자화장실: 좌변기3","남자1, 여자1 (일반통합)","비상벨(여4,남2), 경보기(경광등)2","기저귀교환대2, 손건조기2, 어어컨2, 보일러(히터)1","02-2290-6852"," "," "
"1446","서울특별시 영등포구 국회대로 750","서울특별시 영등포구 여의도동 17-1","126.91643648","37.52827330","금산빌딩 개방화장실","영등포구"," "," "," "," "," "," "," "," "," "," "
"1447","서울특별시 영등포구 경인로 727","서울특별시 영등포구 문래동2가 21-6","126.89438771","37.51243147","종도빌딩","영등포구"," "," "," "," "," "," "," "," "," "," "
"1449","서울특별시 영등포구 경인로 706","서울특별시 영등포구 문래동1가 96-4","126.89256059","37.51100021","한양빌딩 화장실","영등포구"," "," "," "," "," "," "," "," "," "," "
"1450","서울특별시 영등포구 도림로141다길 30","서울특별시 영등포구 문래동4가 27-15","126.88944809","37.51562161","문래동 성결교회 개방화장실","영등포구"," "," "," "," "," "," "," "," "," "," "
"1451","서울특별시 영등포구 경인로 775","서울특별시 영등포구 문래동3가 55-20","126.89861093","37.51492050","에이스하이테크시티","영등포구"," "," "," "," "," "," "," "," "," "," "
"1452","서울특별시 영등포구 경인로 778","서울특별시 영등포구 문래동1가 23-1","126.89966989","37.51338909","구로세무서","영등포구"," "," "," "," "," "," "," "," "," "," "
"1453","서울특별시 영등포구 경인로 767","서울특별시 영등포구 문래동3가 54-54","126.89895839","37.51427668","에이스하이테크시티","영등포구"," "," "," "," "," "," "," "," "," "," "
"1454","서울특별시 종로구 비봉길 13","서울특별시 종로구 구기동 120-16","126.95642477","37.60964181","구기동 공중화장실","종로구","02-2148-2383","공중","상시(연중개방)","화장실"," ","기저귀교환대2,유아용보호의자2, 비상벨5, 손건조기1"," "," "," "," "
"1455","서울특별시 영등포구 경인로 767","서울특별시 영등포구 문래동3가 54-54","126.89868680","37.51392715","서울센트럴요양병원","영등포구"," "," "," "," "," "," "," "," "," "," "
"1456","서울특별시 영등포구 도림로 415","서울특별시 영등포구 문래동2가 1","126.89646894","37.51322856","GS칼텍스  화일주유소","영등포구"," "," "," "," "," "," "," "," "," "," "
"1457","서울특별시 영등포구 경인로 772","서울특별시 영등포구 문래동1가 34-4","126.89907002","37.51340857","서울남부광역등기국","영등포구"," "," "," "," "," "," "," "," "," "," "
"1458","서울특별시 구로구 경인로 430","서울특별시 구로구 고척동 63-18","126.86689653","37.49679759","고척스카이돔 관리동 화장실","구로구","02-2128-2300"," ","06:00~22:00","체육시설","개방","유","기저귀교환대 등"," ","서울특별시 구로구 고척동 63-6"," "
"1459","서울특별시 양천구 목동남로4길 48-6","서울특별시 양천구 신정동 337-9","126.86734043","37.50888034","갈산도서관","양천구","02-2645-5919"," "," "," "," "," "," "," "," ","화장실관련정보 문의:양천문화재단 02-2645-5919"
"1460","서울특별시 양천구 신정로 167","서울특별시 양천구 신정동 1315-8","126.84237164","37.50922619","(주)서부티엔디","양천구","02-2620-4874"," "," "," "," "," "," "," "," ","화장실관련정보 문의:양천구청 녹색환경과 02-2620-4874"
"1461","서울특별시 양천구 용왕정길 19","서울특별시 양천구 목동 199-51","126.87425871","37.54214992","용왕산유아숲체험원","양천구","02-2620-3589"," "," "," "," "," "," "," "," ","화장실관련정보 문의:양천구청 공원녹지과 02-2620-3589"
"1612","서울특별시 송파구 석촌호수로 135","서울특별시 송파구 잠실동 44-3","127.09233197","37.50756817","레이크팰리스 종합상가 A동","송파구","02-2147-3283","민간개방","07-23시","빌딩"," ","남1, 여1, 휠체어 진입 가능","CCTV"," "," ","화장실관련정보 문의: 송파구청 청소행정과 02-2147-3283"
"1613","서울특별시 송파구 오금로11길 14","서울특별시 송파구 방이동 64-4","127.10886882","37.51449469","동성빌딩","송파구","02-2147-3283","민간개방","상시","빌딩","남1, 여1","여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1614","서울특별시 성북구 종암로25길 29","서울특별시 성북구 종암동 80-8","127.03145644","37.60009136","성북구 마을사회적경제센터 공중화장실","성북구"," "," "," "," "," "," "," "," "," "," "
"1615","서울특별시 성북구 화랑로 316","서울특별시 성북구 석관동 168-34","127.06331723","37.61402213","화랑로 316 개방화장실","성북구"," "," "," "," "," "," "," "," "," "," "
"1616","서울특별시 송파구 오금로 20","서울특별시 송파구 신천동 15","127.10390346","37.52050373","잠실나루역(개찰구 밖)","송파구","02-6110-2151","공공개방","지하철 운영시간","지하철"," ","남1, 여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 서울교통공사  02-6110-2151"
"1617","서울특별시 송파구 마천로 315","서울특별시 송파구 마천동 181","127.15100528","37.49506266","송파쇼핑센터","송파구","02-431-0611","의무개방","정시(08:30-22:30)","상가"," ","여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 송파쇼핑센터 02-431-0611"
"1618","서울특별시 송파구 양재대로72길 5, 102동 (오금동, 올림픽파크센트레빌)","서울특별시 송파구 오금동 615","127.12752092","37.51028029","올림픽파크 동부센트레빌","송파구","02-448-9804","의무개방","정시(05:00-22:30)","상가"," ","여1"," "," "," ","화장실정보관련 문의: 올림픽파크 동부센트레빌 02-448-9804"
"1619","서울특별시 송파구 마천로7길 6","서울특별시 송파구 오금동 19","127.12781908","37.50834105","킹스스크린골프","송파구","02-2147-3283","민간개방","상시","상가"," "," "," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1620","서울특별시 송파구 마천로 103","서울특별시 송파구 오금동 31-5","127.13167696","37.50612453","오금가스충전소","송파구","02-2147-3283","의무개방","상시","주유소-충전소"," "," "," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1621","서울특별시 송파구 마천로25길 7","서울특별시 송파구 오금동 119-9","127.13993998","37.50361943","쉼빌딩","송파구","02-2147-3283","의무개방","상시","빌딩"," "," "," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1622","서울특별시 송파구 백제고분로44길 13-25","서울특별시 송파구 송파동 128","127.11328627","37.50707077","송파동 공영주차장","송파구","02-2147-3200","공공개방","상시","주차장"," "," "," "," "," ","화장실정보관련 문의: 송파구청 주차정책과 02-2147-3200"
"1623","서울특별시 송파구 양재대로 1239","서울특별시 송파구 방이동 88-15","127.13250998","37.52141418","한국체육대학교(실내빙상장)","송파구","02-410-6585","공공개방","정시(05-23시)","학교"," ","남1, 여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 한국체육대학교 02-410-6585"
"1624","서울특별시 송파구 양재대로 1239","서울특별시 송파구 방이동 88-15","127.13138720","37.52075720","한국체육대학교(필승관)","송파구","02-410-6585","공공개방","정시(05-23시)","학교"," ","공용2, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 한국체육대학교 02-410-6585"
"1625","서울특별시 송파구 양재대로 1239","서울특별시 송파구 방이동 88-15","127.12993831","37.51911445","한국체육대학교(과학관)","송파구","02-410-6585","공공개방","정시(05-23시)","학교"," ","남1, 여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 한국체육대학교 02-410-6585"
"1626","서울특별시 송파구 양재대로 1239","서울특별시 송파구 방이동 88-15","127.12979003","37.51992295","한국체육대학교(오륜관)","송파구","02-410-6585","공공개방","정시(05-23시)","학교"," ","여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의:한국체육대학교 02-410-6585"
"1627","서울특별시 송파구 백제고분로 505","서울특별시 송파구 방이동 51","127.11505909","37.51547272","올림픽파크리움","송파구","02-2147-3283","민간개방","상시","오피스텔"," ","남1, 여1"," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1628"," ","서울특별시 송파구 방이동  446-1","127.13551316","37.51239412","성내천 방이동 화장실","송파구","02-2147-3364","공중화장실","상시","공원"," ","남1, 여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 송파구청 치수과 02-2147-3364"
"1629","서울특별시 송파구 올림픽로34길 5-13","서울특별시 송파구 방이동 41-9","127.11143282","37.51648164","벨솔레 오피스텔","송파구","02-2147-3283","민간개방","08-18시","빌딩"," "," "," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1630","서울특별시 송파구 백제고분로 242","서울특별시 송파구 삼전동 62-2","127.09330083","37.50208222","송파구민회관","송파구","02-2147-2875","공공개방","정시(10:00~20:30)","공공청사"," ","남1, 휠체어 진입 가능","기저귀 교환대"," "," ","화장실정보관련 문의: 송파구청 문화예술과 02-2147-2875"
"1631","서울특별시 송파구 석촌호수로 151","서울특별시 송파구 잠실동 44-5","127.09385277","37.50723089","잠실119안전센터","송파구","02-6981-5380","공공개방","상시","공공청사"," ","남1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 잠실119 안전센터 02-6981-5380"
"1632","서울특별시 송파구 석촌호수로 155","서울특별시 송파구 잠실동 44-4","127.09429305","37.50728198","소나무언덕2호작은도서관","송파구","02-2147-2452","공공개방","09-22시(평일), 09-18시(주말)","공공건물"," "," "," "," "," ","화장실정보관련 문의: 송파구청 교육협력과 02-2147-2452"
"1633","서울특별시 송파구 올림픽로 44","서울특별시 송파구 잠실동 84","127.07612091","37.50959212","송파문화원","송파구","02-2147-2806","공공개방","정시(09-18시, 평일만)","공공건물"," ","남1, 여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 송파구청 문화예술과 02-2147-2807"
"1634","서울특별시 송파구 백제고분로 63","서울특별시 송파구 잠실동 175-2","127.07885313","37.51116011","위너스오피스텔 A동","송파구","02-2147-3283","민간개방","정시(07-22시)","빌딩"," ","공용2, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1635"," ","서울특별시 송파구 잠실동  351","127.07965096","37.50205923","탄천둘레길 화장실(탄천1교 부근)","송파구","02-2147-3364","공중화장실","상시","공워"," ","남1, 여1, 휠체어 진입 가능"," "," "," ","화장실정보관련 문의: 송파구청 치수과 02-2147-3364"
"1636","서울특별시 송파구 마천로 301-1","서울특별시 송파구 마천동 128-4","127.14980828","37.49611709","마천3 공영주차장","송파구","02-2147-3200","공공개방","정시(09:00-18:00)","주차장"," "," "," "," "," ","화장실정보관련 문의: 송파구청 주차정책과 02-2147-3200"
"1637","서울특별시 송파구 가락로 103","서울특별시 송파구 석촌동 277-2","127.10767861","37.50137821","엄마손백화점","송파구"," ","의무개방","정시(09-18시)"," "," "," "," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1638","서울특별시 송파구 삼학사로 50","서울특별시 송파구 석촌동 210-18","127.09713247","37.50172129","송파제일주유소(셀프)","송파구","02-2147-3283","의무개방","상시","주유소-충전소"," "," "," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
"1639","서울특별시 송파구 석촌호수로 242","서울특별시 송파구 석촌동 183-1","127.10354176","37.50812235","홍익에너지","송파구","02-2147-3283","의무개방","상시","주유소-충전소"," "," "," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-217-3283"
"1640","서울특별시 송파구 백제고분로 293","서울특별시 송파구 석촌동 15","127.09908063","37.50289518","제우빌딩","송파구","02-2147-3283","민간개방","상시"," "," "," "," "," "," ","화장실정보관련 문의: 송파구청 청소행정과 02-2147-3283"
